V1,V2,V3E4,ESTACK,H2OAINE2,H2OCINE2,H2OAOUTE2,H2OCOUT ,WFH2 ,MFH2,EACTE1,EOHME3,EFFLHVE1,EFFHHVE1,SPECPOW2,TCELL,VH2,PURITYE2,SYSPOW
1200,75.2923977,5,339.689494,5.6888375,4.9981994,5.6888375,5.09981955,10.1275082,5.02386464,2.80579216,2.893903,8.48489833,10.0286865,141377.695,72.7902895,116.856381,74.7623141,407.627393
1200,75.2923977,6.25,339.810532,5.0917083,4.9918826,5.0917083,5.10924641,10.1465108,5.03329106,2.80573988,3.407941,8.48187607,10.0251143,141428.071,72.7897073,117.075526,74.7628297,407.772638
1200,75.2923977,7.5,339.930534,4.6920158,4.9876343,4.6920158,5.11555552,10.159229,5.03960005,2.80570193,3.921965,8.47888181,10.0215753,141478.015,72.7895106,117.222235,74.76301,407.91664
1200,81.871345,2.5,339.323991,8.8722867,5.4763403,8.8722867,5.05369336,10.020966,4.97101318,2.80117517,1.860053,8.49403785,10.0394889,141225.574,72.7960122,115.629476,74.7513639,407.188789
1200,81.871345,3.75,339.45224,6.9172411,5.4547761,6.9172411,5.08448834,10.0830397,5.00180553,2.80103315,2.374086,8.49082869,10.0356958,141278.951,72.7930477,116.345149,74.7539654,407.342688
1200,81.871345,5,339.575392,5.928021,5.4434875,5.928021,5.10006249,10.1144332,5.01737862,2.80095708,2.888078,8.48774936,10.0320562,141330.207,72.7918188,116.707147,74.7550472,407.490471
1200,81.871345,6.25,339.696473,5.3307037,5.4366383,5.3307037,5.10946468,10.133386,5.02678039,2.8009079,3.402051,8.48472401,10.0284804,141380.6,72.7912893,116.925733,74.7555191,407.635767
1200,81.871345,7.5,339.816507,4.9308912,5.4320351,4.9308912,5.11575722,10.1460708,5.03307281,2.80087227,3.916011,8.48172692,10.024938,141430.558,72.7911122,117.072062,74.755683,407.779809
1200,88.4502924,2.5,339.225689,9.1120426,5.9245399,9.1120426,5.0540642,10.0081488,4.96465506,2.7970135,1.855234,8.49649927,10.0423981,141184.661,72.7970447,115.482908,74.7453945,407.070827
1200,88.4502924,3.75,339.354043,7.156549,5.9013515,7.156549,5.08478239,10.0700678,4.99537064,2.79687917,2.369206,8.49328563,10.0385998,141238.082,72.7943153,116.196848,74.7478008,407.224852
1200,88.4502924,5,339.477253,6.1671084,5.8891876,6.1671084,5.10031638,10.1013803,5.01090357,2.79680731,2.883141,8.49020307,10.0349564,141289.362,72.793185,116.557936,74.7488006,407.372704
1200,88.4502924,6.25,339.598371,5.5696691,5.8818093,5.5696691,5.10969415,10.1202839,5.02028092,2.79676087,3.397058,8.48717504,10.0313774,141339.77,72.792702,116.775964,74.7492334,407.518045
1200,88.4502924,7.5,339.718435,5.1697796,5.8768517,5.1697796,5.11597025,10.1329356,5.02655692,2.79672731,3.910964,8.4841755,10.0278321,141389.74,72.7925417,116.921916,74.7493841,407.662121
1200,95.0292398,2.5,339.14019,9.3515023,6.3731342,9.3515023,5.05444512,9.99535201,4.95830705,2.793402,1.851099,8.49864128,10.0449299,141149.077,72.797983,115.336398,74.7402005,406.968228
1200,95.0292398,3.75,339.268638,7.3957405,6.348334,7.3957405,5.08508724,10.0571176,4.98894657,2.79327458,2.365018,8.49542367,10.0411268,141202.537,72.7954581,116.048615,74.7424379,407.122365
1200,95.0292398,5,339.3919,6.4061667,6.3352986,6.4061667,5.10058137,10.0883498,5.00443965,2.79320649,2.878904,8.49233827,10.0374801,141253.838,72.7944145,116.408796,74.7433667,407.270279
1200,95.0292398,6.25,339.513053,5.8086572,6.3273936,5.8086572,5.10993489,10.1072045,5.01379276,2.79316258,3.392772,8.48930783,10.0338982,141304.261,72.7939679,116.62627,74.7437697,407.415664
1200,95.0292398,7.5,339.633142,5.4087252,6.3220833,5.4087252,5.1161947,10.1198233,5.02005245,2.79313085,3.90663,8.48630613,10.0303504,141354.242,72.7938217,116.771847,74.7439093,407.559771
1200,101.608187,2.5,339.065108,9.5907665,6.822122,9.5907665,5.05483633,9.98257595,4.95196934,2.79023815,1.847511,8.5005232,10.0471542,141117.828,72.7988382,115.189984,74.7356346,406.87813
1200,101.608187,3.75,339.193642,7.634882,6.7957227,7.634882,5.08540303,10.0441895,4.98253345,2.79011703,2.361384,8.49730203,10.043347,141171.323,72.7964901,115.900488,74.7377276,407.03237
1200,101.608187,5,339.31695,6.6452453,6.7818195,6.6452453,5.10085755,10.0753419,4.99798693,2.79005237,2.875226,8.49421408,10.0396972,141222.644,72.7955205,116.259764,74.7385965,407.18034
